model,bug,condition,compiles,error_category,detail,file_shape
gpt-5.5-instant,Chart-23,C1,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Chart-23_C1/org/jfree/chart/renderer/category/gpt_5_5_instant_Chart_23_C1_Test.java:111: error: cannot find symbol,fragment
gpt-5.5-instant,Chart-23,C2,True,,,fragment
gpt-5.5-instant,Chart-24,C1,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Chart-24_C1/org/jfree/chart/renderer/gpt_5_5_instant_Chart_24_C1_Test.java:80: error: cannot find symbol,fragment
gpt-5.5-instant,Chart-24,C2,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Chart-24_C2/org/jfree/chart/renderer/gpt_5_5_instant_Chart_24_C2_Test.java:80: error: cannot find symbol,fragment
gpt-5.5-instant,Lang-10,C1,True,,,fragment
gpt-5.5-instant,Lang-10,C2,True,,,fragment
gpt-5.5-instant,Lang-19,C1,True,,,fragment
gpt-5.5-instant,Lang-19,C2,True,,,fragment
gpt-5.5-instant,Lang-22,C1,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Lang-22_C1/org/apache/commons/lang3/math/gpt_5_5_instant_Lang_22_C1_Test.java:27: error: cannot find symbol,fragment
gpt-5.5-instant,Lang-22,C2,True,,,fragment
gpt-5.5-instant,Lang-26,C1,True,,,fragment
gpt-5.5-instant,Lang-26,C2,True,,,fragment
gpt-5.5-instant,Lang-30,C1,False,ambiguous_method_overload,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Lang-30_C1/org/apache/commons/lang3/gpt_5_5_instant_Lang_30_C1_Test.java:51: error: reference to containsAny is ambiguous,fragment
gpt-5.5-instant,Lang-30,C2,False,ambiguous_method_overload,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Lang-30_C2/org/apache/commons/lang3/gpt_5_5_instant_Lang_30_C2_Test.java:28: error: reference to containsAny is ambiguous,fragment
gpt-5.5-instant,Lang-41,C1,True,,,fragment
gpt-5.5-instant,Lang-41,C2,False,ambiguous_method_overload,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Lang-41_C2/org/apache/commons/lang/gpt_5_5_instant_Lang_41_C2_Test.java:26: error: reference to getPackageName is ambiguous,fragment
gpt-5.5-instant,Lang-42,C1,True,,,fragment
gpt-5.5-instant,Lang-42,C2,True,,,fragment
gpt-5.5-instant,Lang-57,C1,True,,,fragment
gpt-5.5-instant,Lang-57,C2,True,,,fragment
gpt-5.5-instant,Lang-60,C1,True,,,fragment
gpt-5.5-instant,Lang-60,C2,True,,,fragment
gpt-5.5-instant,Lang-8,C1,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Lang-8_C1/org/apache/commons/lang3/time/gpt_5_5_instant_Lang_8_C1_Test.java:36: error: cannot find symbol,fragment
gpt-5.5-instant,Lang-8,C2,True,,,fragment
gpt-5.5-instant,Math-27,C1,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Math-27_C1/org/apache/commons/math3/fraction/gpt_5_5_instant_Math_27_C1_Test.java:63: error: cannot find symbol,fragment
gpt-5.5-instant,Math-27,C2,False,cannot_find_symbol,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Math-27_C2/org/apache/commons/math3/fraction/gpt_5_5_instant_Math_27_C2_Test.java:63: error: cannot find symbol,fragment
gpt-5.5-instant,Math-2,C1,True,,,fragment
gpt-5.5-instant,Math-2,C2,True,,,fragment
gpt-5.5-instant,Math-53,C1,True,,,fragment
gpt-5.5-instant,Math-53,C2,True,,,fragment
gpt-5.5-instant,Math-55,C1,True,,,fragment
gpt-5.5-instant,Math-55,C2,True,,,fragment
gpt-5.5-instant,Math-59,C1,True,,,fragment
gpt-5.5-instant,Math-59,C2,True,,,fragment
gpt-5.5-instant,Math-63,C1,True,,,fragment
gpt-5.5-instant,Math-63,C2,True,,,fragment
gpt-5.5-instant,Math-70,C1,True,,,fragment
gpt-5.5-instant,Math-70,C2,True,,,fragment
gpt-5.5-instant,Math-75,C1,True,,,fragment
gpt-5.5-instant,Math-75,C2,True,,,fragment
gpt-5.5-instant,Math-79,C1,True,,,fragment
gpt-5.5-instant,Math-79,C2,True,,,fragment
gpt-5.5-instant,Math-9,C1,False,incompatible_types,/mnt/d/semester5/swt301/research/comparative-llms-test-generation/_d4j_work/_compile/gpt-5.5-instant/Math-9_C1/org/apache/commons/math3/geometry/euclidean/threed/gpt_5_5_instant_Math_9_C1_Test.java:75: error: incompatible types: Vector2D cannot be converted to Vector3D,fragment
gpt-5.5-instant,Math-9,C2,True,,,fragment
